id;placed_date;status;code;invoice_id;customer
1;2019-06-13T08:10:26;CANCELLED;paradigms Home;34507;deposit Canadian Dollar Lebanon
2;2019-06-12T22:18:44;PENDING;Ergonomic transmitter;36778;invoice withdrawal
3;2019-06-12T20:12:02;PENDING;Argentine Peso;85835;neural-net red
4;2019-06-12T15:59:30;COMPLETED;Sausages;69093;synthesize Creative
5;2019-06-13T05:45:31;CANCELLED;Fiji Dollar Profound Bacon;98216;Borders content-based
6;2019-06-12T09:08:57;CANCELLED;Human deposit;33902;cross-media
7;2019-06-12T15:38:11;PENDING;bypassing Marketing;78534;New Zealand Dollar Alabama transform
8;2019-06-12T10:29:46;COMPLETED;Latvia;69189;invoice Devolved
9;2019-06-12T15:58:01;PENDING;Fish;36646;program alarm
10;2019-06-13T01:39:56;CANCELLED;dedicated Persevering;97301;target Human withdrawal
